datetime,csi1000,csi500,hs300,sse
2005-06-24,799.695,813.203,898.301,1101.882
2005-06-27,822.881,834.346,916.043,1124.64
2005-06-28,807.644,819.046,903.716,1108.588
2005-06-29,805.097,814.064,898.898,1104.992
2005-06-30,781.826,791.502,878.686,1080.938
2005-07-01,743.115,760.352,859.494,1055.594
2005-07-04,734.952,749.483,855.932,1047.278
2005-07-05,729.359,744.595,849.679,1039.043
2005-07-06,727.061,743.444,842.556,1033.545
2005-07-07,732.049,747.418,844.729,1038.597
2005-07-08,706.735,722.854,829.489,1017.983
2005-07-11,694.828,714.475,824.097,1011.499
2005-07-12,720.565,739.534,851.816,1046.161
2005-07-13,711.951,732.443,846.231,1037.394
2005-07-14,711.583,732.544,849.59,1040.416
2005-07-15,690.491,714.488,841.001,1026.115
2005-07-18,669.029,696.848,832.995,1012.097
2005-07-19,677.02,703.066,835.608,1014.355
2005-07-20,682.122,707.293,842.641,1021.052
2005-07-21,679.019,704.788,843.987,1020.632
2005-07-22,694.294,721.445,859.693,1046.321
2005-07-25,692.388,718.867,856.86,1045.4
2005-07-26,709.097,735.861,876.48,1072.807
2005-07-27,724.045,750.015,894.012,1089.909
2005-07-28,725.806,747.23,890.885,1086.548
2005-07-29,722.873,744.825,888.164,1083.033
2005-08-01,729.902,750.488,891.607,1088.948
2005-08-02,744.005,763.29,903.598,1104.038
2005-08-03,751.893,769.752,909.57,1107.699
2005-08-04,747.568,765.262,904.15,1102.589
2005-08-05,772.151,787.819,923.803,1128.743
2005-08-08,783.726,800.117,927.471,1138.882
2005-08-09,799.411,814.186,933.089,1152.534
2005-08-10,809.459,823.839,940.37,1165.033
2005-08-11,817.621,832.841,953.992,1183.579
2005-08-12,803.443,816.386,938.316,1167.915
2005-08-15,830.344,839.667,954.502,1187.006
2005-08-16,833.485,839.264,945.058,1177.278
2005-08-17,857.657,854.526,953.012,1192.834
2005-08-18,826.424,820.664,920.671,1148.035
2005-08-19,827.464,820.869,923.038,1150.184
2005-08-22,836.515,831.496,931.673,1158.597
2005-08-23,819.17,816.914,923.414,1149.957
2005-08-24,830.999,826.716,930.651,1167.137
2005-08-25,843.884,836.418,930.118,1172.475
2005-08-26,848.024,840.431,928.258,1171.86
2005-08-29,842.154,832.248,917.371,1154.428
2005-08-30,832.523,827.55,914.88,1146.385
2005-08-31,850.734,845.142,927.916,1162.798
2005-09-01,870.712,865.405,944.559,1184.933
2005-09-02,880.862,872.485,947.871,1188.848
2005-09-05,891.156,884.29,952.717,1196.224
2005-09-06,864.926,862.491,936.61,1173.322
2005-09-07,893.582,888.125,952.758,1194.309
2005-09-08,897.373,889.69,955.282,1194.411
2005-09-09,887.997,879.503,949.065,1189.625
2005-09-12,894.159,883.561,949.506,1188.212
2005-09-13,915.497,904.311,963.774,1207.164
2005-09-14,927.815,914.983,970.193,1217.261
2005-09-15,929.952,918.505,969.598,1217.281
2005-09-16,930.411,917.638,967.495,1212.947
2005-09-19,947.902,930.489,971.136,1220.627
2005-09-20,947.284,924.16,961.919,1212.617
2005-09-21,933.812,909.787,944.408,1187.988
2005-09-22,892.077,880.013,923.274,1159.96
2005-09-23,874.667,868.549,916.154,1151.98
2005-09-26,884.285,874.84,918.485,1155.042
2005-09-27,859.634,856.958,904.214,1133.237
2005-09-28,857.46,852.359,903.719,1131.774
2005-09-29,876.566,871.291,915.975,1155.485
2005-09-30,870.957,869.509,917.392,1155.614
2005-10-10,859.077,858.748,907.321,1138.95
2005-10-11,879.88,878.623,919.72,1157.192
2005-10-12,889.599,887.711,923.485,1161.853
2005-10-13,886.077,883.45,916.499,1152.607
2005-10-14,876.262,876.053,904.828,1139.547
2005-10-17,879.27,878.757,897.623,1131.375
2005-10-18,897.454,893.699,902.366,1141.201
2005-10-19,891.35,886.314,898.744,1134.608
2005-10-20,891.058,886.551,899.915,1135.949
2005-10-21,897.639,895.027,904.414,1141.318
2005-10-24,897.355,897.757,906.652,1141.171
2005-10-25,876.636,877.577,894.272,1121.918
2005-10-26,853.183,854.028,875.82,1097.161
2005-10-27,837.336,847.593,875.849,1097.782
2005-10-28,806.557,825.063,867.729,1080.867
2005-10-31,812.452,828.659,876.282,1092.817
2005-11-01,804.35,823.328,872.865,1089.95
2005-11-02,826.51,840.316,882.478,1104.792
2005-11-03,818.951,828.906,874.575,1095.273
2005-11-04,826.766,835.122,878.361,1100.045
2005-11-07,837.67,842.002,877.278,1100.65
2005-11-08,846.564,848.965,881.524,1110.147
2005-11-09,842.774,845.11,879.252,1108.153
2005-11-10,816.009,821.269,862.968,1088.301
2005-11-11,822.673,823.956,864.79,1090.195
2005-11-14,827.478,827.569,862.149,1088.653
2005-11-15,821.064,820.491,856.635,1087.508
2005-11-16,827.588,826.692,863.119,1095.89
2005-11-17,828.645,825.797,862.658,1095.31
2005-11-18,848.778,843.738,882.241,1116.999
2005-11-21,855.432,846.958,883.871,1119.936
2005-11-22,833.585,831.771,869.617,1098.655
2005-11-23,841.307,838.117,876.229,1105.746
2005-11-24,845.476,841.699,881.493,1113.374
2005-11-25,847.343,841.13,884.105,1114.916
2005-11-28,846.429,838.342,880.167,1110.823
2005-11-29,835.306,827.005,871.31,1096.986
2005-11-30,839.24,829.5,873.825,1099.261
2005-12-01,835.386,828.193,873.067,1098.747
2005-12-02,821.715,817.864,869.936,1094.287
2005-12-05,794.322,796.926,859.61,1079.197
2005-12-06,796.987,798.878,866.075,1087.794
2005-12-07,805.528,806.778,873.838,1099.615
2005-12-08,802.541,805.561,874.056,1098.323
2005-12-09,816.955,819.2,887.358,1113.477
2005-12-12,823.324,824.518,888.518,1116.367
2005-12-13,822.533,824.861,889.101,1117.846
2005-12-14,831.797,832.513,898.153,1125.387
2005-12-15,824.607,827.539,896.434,1123.555
2005-12-16,831.961,834.537,902.561,1127.508
2005-12-19,834.02,834.712,902.91,1131.751
2005-12-20,835.007,836.119,907.318,1136.342
2005-12-21,823.371,830.766,903.144,1130.759
2005-12-22,826.909,835.503,908.754,1135.238
2005-12-23,834.717,845.589,915.89,1144.871
2005-12-26,841.206,853.169,922.378,1156.823
2005-12-27,841.925,854.526,919.36,1154.288
2005-12-28,844.074,857.206,920.919,1157.034
2005-12-29,852.386,866.747,932.031,1169.862
2005-12-30,842.736,860.131,923.451,1161.057
2006-01-04,852.531,871.73,941.428,1180.963
2006-01-05,865.698,882.732,959.134,1197.269
2006-01-06,872.818,891.94,970.032,1209.422
2006-01-09,886.656,905.068,975.253,1215.668
2006-01-10,889.152,911.191,978.154,1220.618
2006-01-11,880.909,906.496,973.477,1211.053
2006-01-12,899.809,927.42,983.716,1226.704
2006-01-13,904.611,932.499,978.809,1221.459
2006-01-16,892.798,920.332,961.439,1202.869
2006-01-17,891.538,919.279,964.29,1208.438
2006-01-18,908.856,939.136,983.622,1233.35
2006-01-19,914.31,949.913,991.222,1251.576
2006-01-20,908.661,952.769,993.34,1255.308
2006-01-23,909.728,961.069,996.162,1255.774
2006-01-24,903.843,960.353,999.093,1252.062
2006-01-25,887.718,957.787,1009.597,1258.046
2006-02-06,909.473,980.91,1033.234,1287.626
2006-02-07,915.254,981.574,1029.937,1282.096
2006-02-08,924.705,982.943,1033.072,1290.055
2006-02-09,914.397,969.577,1019.599,1269.454
2006-02-10,925.088,980.801,1032.337,1282.656
2006-02-13,926.473,977.396,1031.614,1279.64
